Date : 2026-03-02 15:59:09
Directory : /Users/remidesbordes/Documents/Teams/TeamsServer_/src
Total : 138 files,  -721 codes, -87 comments, -259 blanks, all -1067 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        138 |       -721 |        -87 |       -259 |     -1,067 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/Database/QueryBuilder.cpp       | C++      |        200 |          1 |         35 |        236 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/Database/QueryBuilder.h         | C++      |         47 |         18 |         16 |         81 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/cache/CacheManager.cpp          | C++      |          0 |          1 |          0 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/cache/CacheManager.h            | C++      |          0 |          1 |          0 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/cache/RedisClient.cpp           | C++      |          0 |          1 |          0 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/cache/RedisClient.h             | C++      |          0 |          1 |          0 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/messaging/MessageBroker.h       | C++      |          0 |          1 |          0 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/messaging/MessagePublisher.cpp  | C++      |          0 |          1 |          0 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/messaging/MessagePublisher.h    | C++      |          0 |          1 |          0 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/messaging/MessageSubscriber.cpp | C++      |          0 |          1 |          0 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/messaging/MessageSubscriber.h   | C++      |          0 |          1 |          0 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/messaging/NatsClient.cpp        | C++      |          0 |          1 |          0 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/messaging/NatsClient.h          | C++      |          0 |          1 |          0 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/messaging/NatsReplyContext.h    | C++      |          0 |          7 |          2 |          9 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/Server/TcpListenerAuth.cpp             | C++      |         21 |          0 |          7 |         28 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/Server/TcpListenerAuth.h               | C++      |         16 |          8 |          5 |         29 |
